iter	Passed	Remaining
623	1087	655
624	1088	653
625	1090	651
626	1091	649
627	1093	647
628	1094	645
629	1095	643
630	1096	641
631	1097	638
632	1098	636
633	1099	634
634	1100	632
635	1101	630
636	1103	628
637	1104	626
638	1105	624
639	1107	623
640	1108	620
641	1109	618
642	1111	616
643	1112	614
644	1113	613
645	1115	611
646	1116	609
647	1117	607
648	1119	605
649	1120	603
650	1122	601
651	1123	599
652	1124	597
653	1126	595
654	1127	593
655	1128	591
656	1129	589
657	1131	587
658	1132	585
659	1133	584
660	1136	582
661	1137	580
662	1138	578
663	1139	576
664	1141	574
665	1142	572
666	1143	571
667	1145	569
668	1146	567
669	1148	565
670	1150	563
671	1151	562
672	1153	560
673	1154	558
674	1155	556
675	1157	554
676	1158	552
677	1159	550
678	1160	548
679	1162	546
680	1163	544
681	1164	543
682	1166	541
683	1167	539
684	1169	537
685	1170	535
686	1171	533
687	1172	531
688	1173	529
689	1174	527
690	1176	525
691	1177	524
692	1178	522
693	1180	520
694	1181	518
695	1182	516
696	1184	514
697	1185	512
698	1186	511
699	1188	509
700	1189	507
701	1190	505
702	1191	503
703	1193	501
704	1194	500
705	1196	498
706	1197	496
707	1199	494
708	1200	492
709	1201	490
710	1202	488
711	1203	486
712	1205	485
713	1206	483
714	1207	481
715	1208	479
716	1210	477
717	1211	475
718	1212	473
719	1213	472
720	1215	470
721	1216	468
722	1217	466
723	1218	464
724	1219	462
725	1221	460
726	1222	459
727	1224	457
728	1225	455
729	1227	453
730	1228	452
731	1229	450
732	1231	448
733	1232	446
734	1233	444
735	1236	443
736	1238	441
737	1239	440
738	1241	438
739	1242	436
740	1243	434
741	1244	432
742	1246	431
743	1247	429
744	1248	427
745	1250	425
746	1251	423
747	1252	422
748	1254	420
749	1256	418
750	1257	417
751	1259	415
752	1260	413
753	1261	411
754	1262	409
755	1263	407
756	1264	405
757	1265	404
758	1266	402
759	1268	400
760	1269	398
761	1270	396
762	1271	395
763	1273	393
764	1274	391
765	1275	389
766	1276	387
767	1277	386
768	1278	384
769	1280	382
770	1281	380
771	1282	378
772	1283	376
773	1284	375
774	1286	373
775	1287	371
776	1288	369
777	1289	367
778	1290	366
779	1292	364
780	1293	362
781	1294	360
782	1295	359
783	1296	357
784	1297	355
785	1298	353
786	1300	351
787	1301	350
788	1302	348
789	1303	346
790	1305	344
791	1306	343
792	1307	341
793	1308	339
794	1309	337
795	1310	335
796	1311	334
797	1312	332
798	1314	330
799	1315	328
800	1316	327
801	1318	325
802	1319	323
803	1320	321
804	1321	320
805	1322	318
806	1323	316
807	1324	314
808	1325	313
809	1326	311
810	1327	309
811	1329	307
812	1330	306
813	1331	304
814	1333	302
815	1334	300
816	1336	299
817	1337	297
818	1338	295
819	1340	294
820	1341	292
821	1342	290
822	1344	289
823	1345	287
824	1346	285
825	1348	283
826	1349	282
827	1350	280
828	1351	278
829	1352	277
830	1353	275
831	1354	273
832	1355	271
833	1356	270
834	1358	268
835	1359	266
836	1360	265
837	1362	263
838	1363	261
839	1364	259
840	1365	258
841	1367	256
842	1368	254
843	1369	253
844	1370	251
845	1371	249
846	1372	248
847	1374	246
848	1375	244
849	1377	243
850	1378	241
851	1379	239
852	1381	237
853	1382	236
854	1383	234
855	1384	232
856	1385	231
857	1386	229
858	1387	227
859	1389	226
860	1390	224
861	1392	222
862	1393	221
863	1394	219
864	1396	217
865	1397	216
866	1398	214
867	1399	212
868	1400	211
869	1402	209
870	1403	207
871	1404	206
872	1405	204
873	1407	202
874	1408	201
875	1409	199
876	1410	197
877	1411	196
878	1413	194
879	1414	192
880	1415	191
881	1416	189
882	1417	187
883	1418	186
884	1419	184
885	1421	182
886	1422	181
887	1423	179
888	1424	177
889	1425	176
890	1426	174
891	1428	172
892	1429	171
893	1430	169
894	1431	167
895	1432	166
896	1433	164
897	1435	163
898	1436	161
899	1437	159
900	1438	158
901	1440	156
902	1441	154
903	1442	153
904	1443	151
905	1444	149
906	1445	148
907	1446	146
908	1448	144
